Date,Open,High,Low,Close,AdjClose,Volume
1996-03-04,29.687500,30.312500,28.062500,28.562500,20.558638,73804000
1996-03-11,28.468750,30.000000,28.406250,29.968750,21.570824,69368800
1996-03-18,30.156250,31.375000,28.531250,28.562500,20.558638,80550000
1996-03-25,28.718750,28.781250,26.906250,27.812500,20.018806,75517200
1996-04-01,28.031250,30.125000,27.500000,29.437500,21.188442,57756400
1996-04-08,28.906250,30.218750,27.531250,27.875000,20.063786,82724000
1996-04-15,28.156250,30.031250,25.843750,26.343750,18.961630,145222800
1996-04-22,26.718750,27.218750,26.406250,26.937500,19.389004,62311600
1996-04-29,26.937500,27.562500,26.843750,27.031250,19.456476,51872400
1996-05-06,27.125000,27.125000,25.906250,26.593750,19.141577,53471200
1996-05-13,26.593750,27.906250,26.468750,27.718750,20.017502,58894800
1996-05-20,28.000000,28.125000,27.000000,27.187500,19.633848,43234400
1996-05-27,27.312500,27.343750,26.406250,26.687500,19.272764,39414000
1996-06-03,26.593750,26.656250,24.031250,25.437500,18.370058,75483600
1996-06-10,25.500000,26.093750,25.343750,25.406250,18.347498,50782400
1996-06-17,25.468750,25.687500,24.562500,24.656250,17.805864,54464000
1996-06-24,24.906250,25.031250,24.406250,24.750000,17.873568,51614400
1996-07-01,24.812500,25.562500,24.437500,24.468750,17.670462,34200000
1996-07-08,24.531250,25.062500,23.531250,23.828125,17.207832,62927200
1996-07-15,23.625000,24.468750,22.437500,23.437500,16.925728,75450800
1996-07-22,23.343750,26.031250,22.281250,25.968750,18.753708,86338800
1996-07-29,25.875000,27.343750,25.843750,27.218750,19.656412,64890800
1996-08-05,27.000000,28.468750,27.000000,28.093750,20.288311,54008000
1996-08-12,28.000000,28.312500,27.281250,27.500000,19.923134,40662400
1996-08-19,27.468750,28.468750,27.375000,28.250000,20.466494,33080000
1996-08-26,28.250000,28.937500,27.812500,28.593750,20.715530,38638000
1996-09-02,28.312500,28.968750,28.140625,28.875000,20.919285,31143600
1996-09-09,29.000000,30.718750,28.968750,30.531250,22.119200,65787200
1996-09-16,30.531250,31.312500,30.375000,30.750000,22.277691,58400800
1996-09-23,30.562500,31.968750,30.531250,31.187500,22.594646,50476000
1996-09-30,31.218750,31.781250,30.781250,31.656250,22.934248,41886000
1996-10-07,31.718750,32.531250,31.375000,32.468750,23.522884,49968000
1996-10-14,32.468750,32.812500,31.000000,32.343750,23.432318,46998400
1996-10-21,32.000000,33.843750,31.531250,31.625000,22.911600,71044000
1996-10-28,31.656250,32.406250,31.281250,31.875000,23.092728,42644400
1996-11-04,31.843750,33.781250,31.843750,33.593750,24.337931,49575200
1996-11-11,33.593750,36.375000,33.250000,36.250000,26.333082,68495600
1996-11-18,36.187500,39.750000,35.750000,39.625000,28.784765,115108000
1996-11-25,39.531250,40.187500,39.031250,39.843750,28.943678,48317600
1996-12-02,39.906250,41.500000,38.343750,38.906250,28.262661,86011200
1996-12-09,39.156250,40.468750,37.875000,38.218750,27.763227,76860800
1996-12-16,38.250000,39.937500,36.812500,38.656250,28.081057,75242000
1996-12-23,38.500000,39.593750,38.187500,38.781250,28.171852,20969200
1996-12-30,38.812500,39.781250,37.562500,39.781250,28.898287,40938000
1997-01-06,39.843750,41.062500,39.593750,40.750000,29.602003,71610800
1997-01-13,40.750000,42.093750,40.687500,41.312500,30.010641,67914800
1997-01-20,41.218750,42.531250,37.250000,37.625000,27.331913,141463200
1997-01-27,37.843750,39.562500,36.250000,39.218750,28.489653,104536400
1997-02-03,39.343750,39.343750,36.375000,37.187500,27.014099,86807200
1997-02-10,37.187500,37.187500,35.281250,36.250000,26.395187,91168800
1997-02-17,36.375000,36.468750,34.281250,34.406250,25.052671,63756000
1997-02-24,34.406250,37.000000,34.375000,35.937500,26.167629,67957200
1997-03-03,35.937500,37.250000,35.625000,36.187500,26.349663,58882000
1997-03-10,36.187500,37.437500,35.531250,35.906250,26.144890,53078000
1997-03-17,35.687500,35.781250,33.031250,33.125000,24.119738,92453600
1997-03-24,33.156250,35.406250,32.500000,34.250000,24.938898,58745600
1997-03-31,34.312500,34.875000,31.781250,32.312500,23.528126,87922000
1997-04-07,32.687500,34.500000,32.625000,33.343750,24.279016,61772800
1997-04-14,33.625000,35.031250,33.312500,34.937500,25.439495,53639600
1997-04-21,34.906250,39.250000,33.687500,37.687500,27.441900,91840400
1997-04-28,37.406250,40.718750,37.281250,40.531250,29.512548,70902400
1997-05-05,40.718750,42.312500,40.531250,41.875000,30.490974,67884400
1997-05-12,42.062500,44.281250,42.031250,42.500000,31.021055,76463600
1997-05-19,42.468750,44.343750,41.718750,43.343750,31.636906,49052000
1997-05-26,43.500000,45.937500,42.250000,43.250000,31.568472,55890800
1997-06-02,43.875000,43.937500,40.875000,42.812500,31.249144,42069600
1997-06-09,43.000000,44.875000,42.750000,44.500000,32.480865,37229000
1997-06-16,44.375000,45.968750,44.125000,44.937500,32.800198,38801800
1997-06-23,44.937500,46.875000,43.812500,45.625000,33.301998,42436600
1997-06-30,46.125000,47.562500,45.062500,47.406250,34.602150,23749400
1997-07-07,47.500000,48.687500,47.000000,47.875000,34.944290,33735400
1997-07-14,47.812500,52.625000,46.687500,52.250000,38.137642,63650800
1997-07-21,52.625000,54.218750,49.687500,53.500000,39.050026,63351400
1997-07-28,53.250000,53.500000,51.375000,52.375000,38.228882,38731800
1997-08-04,52.281250,54.718750,52.000000,52.625000,38.411362,33927200
1997-08-11,52.375000,53.000000,49.937500,49.968750,36.540287,40014800
1997-08-18,50.500000,54.218750,49.843750,53.187500,38.894047,44000200
1997-08-25,53.187500,53.500000,50.234348,50.687500,37.065880,29715600
1997-09-01,50.687500,52.625000,50.625000,51.812500,37.888573,26501000
1997-09-08,51.968750,52.156250,48.062500,48.875000,35.740459,52204400
1997-09-15,49.062500,50.625000,48.062500,49.625000,36.288914,36272800
1997-09-22,51.000000,52.562500,50.593750,51.312500,37.522934,37469000
1997-09-29,51.187500,53.718750,51.000000,52.156250,38.139919,38669800
1997-10-06,52.531250,53.562500,52.062500,52.468750,38.368443,28949800
1997-10-13,52.750000,52.750000,47.625000,47.718750,34.894951,33906800
1997-10-20,47.906250,52.968750,47.250000,49.000000,35.831879,69932000
1997-10-27,48.625000,51.125000,44.312500,49.250000,36.014679,77255200
1997-11-03,49.562500,51.968750,49.125000,49.750000,36.380329,37370000
1997-11-10,50.375000,51.031250,47.625000,50.750000,37.183956,41349400
1997-11-17,51.500000,53.187500,50.875000,52.781250,38.672245,38912400
1997-11-24,52.468750,54.968750,51.500000,54.750000,40.114719,29838200
